Date,month,day,year,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,State,Country,Summary
04/20/1978,4,20,1978,,"Near Murmansk, Russia",Korean Airlines,902,Paris - Seoul,Boeing B-707-321B,HL-7429,19363/623,109,2,0,NearMurmansk,Russia,"The aircraft, which deviated off course, suffered rapid decompression after being fired upon by a Russian fighter. The aircraft made an emergency landing on a frozen lake."
04/23/1978,4,23,1978,21:47,"Arlington, Indiana",Air Taxi,,"Trenton, NJ - Indianappolis, IN",Piper PA-31,N49MC,,9,9,0,Arlington,Indiana,Lost control and crashed after the pilot entered a known area of severe turbulence and thunderstorms.
05/19/1978,5,19,1978,,"Pochinok, Russia",Aeroflot,,Baku - Leningrad,Tupolev TU-154B,CCCP-85169,76A-169,134,4,0,Pochinok,Russia,The flight engineer accidentally shut off the automatitransferring of fuel from the sump tank. Eventually all three engines stopped and the plane crashed. Fuel starvation.
08/25/1978,8,25,1978,,"Laboucher Bay, Alaska",Webber Air - Air Taxi,,"Laboucher, AK - Ketchican, AK",Grumman G-21 Goose,N1045,1195,12,12,0,LaboucherBay,Alaska,Crashed en route. All twelve bodies recovered.
09-09-1978,9,9,1978,14:47,"Wrangell, Alaska",Temesco Helicopter - Air Taxi,,"Wrangell, AK - Return",Soloy 12EJ3,N5384V,,3,3,0,Wrangell,Alaska,The helicopter experienced rotor failure. Undersized threads on anti-node bar.
10-07-1978,10,7,1978,,"Sverdlovsk, Russia",Aeroflot,,,Yakovlev YAK-40,CCCP-87437,9431335,38,38,0,Sverdlovsk,Russia,Crashed after the left engine flamed out on takeoff.
10-08-1978,10,8,1978,09:25,"Kenai, Alaska",Era Helicopter - Air Taxi,,"Kenai, AK - Return",Bell 205-1,N2215W,,7,2,0,Kenai,Alaska,The tail rotor pitch control system failed shortly after taking off. The helicopter tried to return and crashed.
10/31/1978,10,31,1978,,"Belém, Brazil",Taxi Aéreo Kovacs,,,Cessna 402,PT-JXL,,9,9,0,Belém,Brazil,
11-05-1978,11,5,1978,,"Off Alexandria, Egypt",Nile Delta Air Services,,,Douglas DC-3,SU-AZM,,18,18,0,OffAlexandria,Egypt,Crashed into the ocean.
11/19/1978,11,19,1978,11:00,"Near Leh, India",Military - Indian Air Force,,Chandigarh - Leh,Antonov An-12,,,77,77,1,NearLeh,India,Crashed into a mountain and burned short of the runway after experiencing engine failure.
11/25/1978,11,25,1978,15:55,"Hydaburg, Alaska",Tyee Airlines - Air Taxi,,"Ketchikan, AK - Hydaburg, AK",de Havilland DHC-2,N37906,,5,5,0,Hydaburg,Alaska,"Crashed in rain, fog and low ceiling. Continued VFR flight into deteriorating weather conditions."
12/17/1978,12,17,1978,,"Hyderabad, India",Indian Airlines,,,Boeing B-737-2A8,VT-EAL,20485/277,132,1,3,Hyderabad,India,"Couldn't climb on takeoff due to non-availability of leading edge slats, overran the runway and killed one passenger and  3 maintenance workers on the ground cutting grass. Nonavailability of leading edge devices immediately after rotation during take off."
12/21/1978,12,21,1978,14:30,"Chevak, Alaska",Chugiak Aviation - Air Taxi,,"St. Marys, AK - Chevak, AK",Cessna 207,N7378U,,7,2,0,Chevak,Alaska,Pilot flew into white out conditions and suffered spatial disorientation. Continued VFR flight into adverse weather conditions.
01/15/1979,1,15,1979,,"Minsk, Russia",Aeroflot,,,Antonov AN-24N,CCCP46807,67302207,13,13,0,Minsk,Russia,
01/18/1979,1,18,1979,,"Near Belgorod, Russia",Aeroflot,,Training,Let 410M,CCCP-67210,760513,3,3,0,NearBelgorod,Russia,
02-08-1979,2,8,1979,,"Near Agudos, Brazil",TAM Lineas Aéreas Regional,,Bauru - Sao Paulo,Embraer 110C Bandeirante,PP-SBB,100-010,18,18,0,NearAgudos,Brazil,Hit trees and burst into flames shortly after taking off.
03/14/1979,3,14,1979,09:00,"Bejing, China",CAAC,,,Hawker Siddeley Trident 2E,B-274,2172,12,12,32,Bejing,China,The aircraft crashed into a factory after being stolen and flown by pilot who was not qualified to fly.
03/17/1979,3,17,1979,19:44,"Near Moscow, Russia",Aeroflot,,Moscow - Odessa,Tupolev TU-104B,CCCP-42444,921001,106,86,0,NearMoscow,Russia,The aircarft crashed in freezing rain and fog shortly after taking off. The aircraft was overloaded. The pilot had very little experience flying aircraft type.
03/20/1979,3,20,1979,,"Chardzhow, Russia",Aeroflot,,,Yakovlev YAK-40,CCCP-78390,9410233,29,29,0,Chardzhow,Russia,The plane crashed after entering the wake turbulence of a helicopter.
03/22/1979,3,22,1979,11:13,"Nightmute, Alaska",Village Aviation - Air Taxi,,"Bethel, AK - Tooksook, Alaska",Cessna U206,N733CT,U20604755,7,2,0,Nightmute,Alaska,"Pilot became disoriented, crashed in snow and low visibility while en route. Pilot not qualified for type of flying. FAA had suspended his certificate."
04/18/1979,4,18,1979,18:23,"Newark, New Jersey",New York Airways,,"Newark, NJ - Flushing, NY",Sikorsky S61-L,N618PA,61426,18,3,0,Newark,NewJersey,Tail rotor separated in flight shortly after takeoff. The helicopter autorotated and crashed. Fatigue fracture in tail rotor.
04/25/1979,4,25,1979,,"Baykity, Russia",Aeroflot,,,Antonov AN-26,CCCP-26569,3809,4,4,0,Baykity,Russia,Crashed on approach.
01/14/1980,1,14,1980,14:00,"Shungnak, Alaska",Ambler Air Service,,"Ambler, AK - Kobuk, AK",Cessna 185,N1690Z,,9,7,0,Shungnak,Alaska,Crashed. Continued VFR flight into adverse weather conditions.
05/25/1979,5,25,1979,20:40,"Bullen Point, Alaska",Sea Airmotive,,Bullen Point - Deadhorse,de Havilland Canada DHC-4A Caribou,N581PA,253,3,3,0,BullenPoint,Alaska,"The cargo plane crashed in heavy crosswind while attempting to takeoff. Inadequate preflight preparation and/or planning. Pilot in command failed to follow approved procedures,directives,etc. Cargo shifted."
06-07-1979,6,7,1979,11:00,"Near Leh, India",Military - Indian Air Force,,,Hindustan Aeronautics 748-2M,H2178,572,27,27,0,NearLeh,India,"Crashed into a 16,000 ft. mountain 10 minutes after taking off from Leh."
07-12-1979,7,12,1979,09:32,"Anchorage, Alaska",Soldotna Air Services,,"Anchorage, AK - Kenai, AK",Cessna 402B,N402TH,402B1034,7,7,0,Anchorage,Alaska,Crashed in low ceiling and rain. Fluxgate compass inoperative because of chafed wires.
08-04-1979,8,4,1979,,"Near Panvel, India",Indian Airlines,,Bombay - Pune,Hindustan Aeronautics 748 2-224,VT-DXJ,515,45,45,0,NearPanvel,India,Crashed into the Kiroli Hills while on approach to Bombay at night. Momentary/intermittent loss of electrical contact in the G/S system of aircraft which gave the pilot an erroneous impression of the interception of the glide slope.
08-11-1979,8,11,1979,,"Near Katab, Egypt",Bahri Aviation,,"Athens, Greece - Jeddah, Saudi Arabia",Learjet 35,N711AF,35-029,5,5,0,NearKatab,Egypt,Crashed en route. Wreckage found in 1987.
08/29/1979,8,29,1979,,"Near Kirsanov, Russia",Aeroflot,,,Tupolev TU-124,CCCP-45038,3351003,63,63,0,NearKirsanov,Russia,The aircraft lost control and crashed after an uncommanded flap extension at FL270.
09-03-1979,9,3,1979,,"Andema, Russia",Aeroflot,,,Antonov AN-24,CCCP-46269,77303602,43,40,0,Andema,Russia,
10-03-1979,10,3,1979,12:13,"Juneau, Alaska",Southeast Skyways - Air Taxi,,"Juneau, AK - Return",Cessna 207,N1726U,20700326,3,3,0,Juneau,Alaska,Pilot suffered spatial disorientation after entering clouds. Continued VFR flight into adverse weather. Pilot under the influence of alcohol.
10-08-1979,10,8,1979,16:07,"Anchorage, Alaska",Spernak Airway - Air Taxi,,"Anchorage, AK - Anchorage, AK",Cessna 207A,N6224H,,4,4,0,Anchorage,Alaska,The plane suffered engine failure on takeoff and crashed. Water in fuel. Improperly serviced aircraft.
10/22/1979,10,22,1979,19:40,"Bloomington, Indiana",Rhoadgs Aviation - Air Taxi,,"Centrailia, IN - Columbus, IN",Cessna 310,N1320G,,2,2,0,Bloomington,Indiana,Crashed after flying into a tornado watch area. Continued flight into known areas of severe turbulence.
11/16/1979,11,16,1979,18:40,"Vologda, Russia",Aeroflot,,Positioning,Yakovlev YAK-40,CCCP-87454,9431136,5,3,0,Vologda,Russia,The plane descended below the decision height without having established ground contact and crashed into a wooded area.
12-03-1979,12,3,1979,,"Nome, Alaska",Evergreen Helicopter - Air Taxi,,"Nome, AK - Return",de Havilland DHC-6,N8061V,294,4,4,0,Nome,Alaska,"Crashed in snow, low ceiling and fog while en route. Continued VFR flight into adverse weather."
12-09-1979,12,9,1979,,"Cherskiy, Russia",Aeroflot,,,Antonov AN-26,CCCP-26547,2810,7,7,0,Cherskiy,Russia,Shifting cargo caused the pilot to lose control and crash into a hotel.
02/22/1980,2,22,1980,,"Near Agra, India",Military - Indian Air Force,,,Fairchild C-119G,,,47,46,1,NearAgra,India,A bicyclist riding on the runway led the pilot to initiate a premature liftoff resulting in a stall. The plane was carrying paratroopers.
03/21/1980,3,21,1980,,"Off Macae, Brazil",VOTEC,,,Sikorsky S-76,PT-HKB,760008,14,14,0,OffMacae,Brazil,Crashed into the sea.
03/30/1980,3,30,1980,,"Cuiaba, Brazil",VoteTaxi Aéreo,,,Britten Norman BN Islander,PT-JSC,695,9,9,0,Cuiaba,Brazil,Crashed after stalling.
04-12-1980,4,12,1980,20:40,"Florianopolis, Brazil",Transbrasil,,Sao Paulo - Florianopolis,Boeing B-727-27C,PT-TYS,19111/297,58,55,0,Florianopolis,Brazil,The plane crashed into a hill while landing during a thunderstorm. The pilot misjudged his speed and distance and failed to initiate a go-around. Improper flight supervision and control of the engines.
05/13/1980,5,13,1980,,"Campinas, Brazil",VoteTaxi Aéreo,,,Britten Norman BN Islander,PT-KHK,208,7,7,0,Campinas,Brazil,Crashed while conducting a survey
06-12-1980,6,12,1980,,"Near Dushanbe, Russia",Aeroflot,,,Yakovlev YAK-40,CCCP-87689,9910403,29,29,0,NearDushanbe,Russia,Struck a mountain.
07-12-1980,7,12,1980,,"Golovin, Alaska",Ryan Air Services,,"Nome, AK - Unalakeet, AK",Cessna 402B,N90238,402B0817,8,8,0,Golovin,Alaska,The plane crashed after continued VFR flight into adverse weather conditions.
08-03-1980,8,3,1980,16:15,"Togiak, Alaska",Yute Air Alaska - Air Taxi,,"Dillingham, AK - Return",de Havilland DHC-3,N443GR,,9,2,0,Togiak,Alaska,Struck a hill after taking off and climbing into a fog shrouded valley. Continued VFR flight into adverse weather conditions
08-11-1980,8,11,1980,,"Rio de Janeiro, Brazil",Prospec,,,Britten-Norman BN-2A-6 Islander,PT-KAC,644,3,3,0,RiodeJaneiro,Brazil,Crashed shortly after taking off.
11-12-1980,11,12,1980,23:53,"Near Cairo, Egypt",Military - U.S. Air Force,,Ramstein AB - Cairo,Lockheed C-141A,67-0030,6281,13,13,0,NearCairo,Egypt,Descended at an excessive sink rate at a banked angle until it crashed to the ground as it prepared to land at Cairo Airport.
12-12-1980,12,12,1980,19:51,"Cold Bay, Alaska",Penninsula Airways - Air Taxi,,"King Cove, AK - Cold Bay, AK",Piper PA-32,N2243Q,,4,4,0,ColdBay,Alaska,"Pilot misjudged altitude and crashed in snow, gusting winds and dark night while en route."
02-07-1981,2,7,1981,,"Near Leningrad, Russia",Military - Soviet Navy,,,Tupolev TU-104A,CCCP-42332,7660402,52,52,0,NearLeningrad,Russia,Crashed shortly after taking off approximately 10 miles north of Leningrad.
02/24/1981,2,24,1981,,"Belem, Brazil",VOTEC,,Tucurui - Belem,Embraer 110P Bandeirante,PT-GLB,110-144,14,11,0,Belem,Brazil,Crashed into a tug boat and barges while on approach in heavy rain and wind and broke in two.
03/15/1981,3,15,1981,,"Shemya AFB, Alaska",Military - U.S. Air Force,,Fairbanks - Shemya AFB,Boeing RC-135S,61-2664,18340,24,6,0,ShemyaAFB,Alaska,Hit the ground short of the runway in snow and fog.
03/27/1981,3,27,1981,16:32,"Galena, Alaska",Galena Air Service - Air Taxi,,"Hughes, AK - Galena, AK",Piper PA-31,N68856,,4,4,0,Galena,Alaska,"Lost an engine during a go around, began to climb, entered a steep left bank and crashed. Engine failure for unknown reasons."
05/29/1981,5,29,1981,,"Cairo, Egypt",Military - Egyptian Air Force,,,Lockheed C-130H Hercules,SU-BAH,4792,17,17,0,Cairo,Egypt,
06/13/1981,6,13,1981,,"Ust-Barguzin, Russia",Aeroflot,,Ulan - Severomuysk,Ilyushin Il-14,CCCP-41838,147001141,52,52,0,Ust-Barguzin,Russia,The crew informed ATC they could see the field but crashed 30 km from the airport.
08-11-1981,8,11,1981,19:15,"Skagway, Alaska",Skagway Air Service - Air Taxi,,"Skagway, AK - Local",Piper PA-32,N8224Q,,6,6,0,Skagway,Alaska,"The aircraft's right wing impacted a boulder while exiting the mouth of a 3,000 ft. canyon while in a 45 degree bank. Pilot misjudged altitude and clearance."
08/24/1981,8,24,1981,,"Near Zavitinsk, Russia",Aeroflot / Military - Russian Air Force,,Komsomol'sk-na-Amure - Blagoveshchensk,Antonov AN-24RV / Soviet Air Force TU-16,CCCP-46653,47309204,32,31,0,NearZavitinsk,Russia,"Midair collision with a Soviet Air Force TU-16. The only surviving passenger, a 20 year old woman was found in a forest 3 days later. Poor communication between civilian and military ATCs."
08/29/1981,8,29,1981,20:30,"Zeya, Russia",Aeroflot,,Chita - Zeya,Yakovlev YAK-40,CCCP-87346,9511539,34,3,0,Zeya,Russia,"Flew into trees short and to the right of the runway, crashed and caught fire. Crew descended below minimums without visual contact with the ground."
09/18/1981,9,18,1981,,"Zeleznogorsk, Russian",Aeroflot /Military - Russian,,,Yakovlev YAK-40 / Mil Mi-8,CCCP-87455,9431236,33,33,0,Zeleznogorsk,Russian,Midair collision with a military Mi-8 helicopter.
11/16/1981,11,16,1981,19:30,"Norilsk, Russia",Aeroflot,,Krasnoyarsk - Norilsk,Tupolev TU-154B-2,CCCP-85480,81A-480,167,99,0,Norilsk,Russia,The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.
12-10-1981,12,10,1981,16:40,"Tyonek, Alaska",Spernak Airways - Air Taxi,,"Tyonek, AK - Anchorage, AK",Cessna 207A,N9461M,,4,4,0,Tyonek,Alaska,Crashed into water during initial climb. Probable cause unknown.
02-07-1982,2,7,1982,,"Near Srinagar, India",Military - Indian Air Force,,Parhankot - Leh,Fairchild C-119G,,,23,23,0,NearSrinagar,India,Crashed in dirzzle and snow while en route.
04-11-1982,4,11,1982,17:35,"Near Tanana, Alaska",Air Taxi,,"Banddanack, AK - Fairbanks, AK",Hughes 369D,N11058,,3,3,0,NearTanana,Alaska,The aircraft crashed on a snow covered mountain slope in a steep left bank in overcast and snow showers. Continued VFR flight into IFR conditons.
04/26/1982,4,26,1982,16:45,"Near Yangshuo, Guangxi, China",CAAC,3303,Guangzhou - Guilin,Hawker Siddeley Trident 2E,B-266,2170,112,112,0,Guangxi,China,The aircraft struck a mountain in heavy rain during a landing attempt.
05/25/1982,5,25,1982,,"Brazilia, Brazil",VASP,,,Boeing B-737-200,PP-SMY,20907,118,2,0,Brazilia,Brazil,The aircraft broke in two after a hard landing. The pilot's misuse of rain repellant caused an optical illusion.
06-08-1982,6,8,1982,02:25,"Near Pacatuba, Brazil",VASP,168,Rio de Janerio - Fortaleza,Boeing B-727-212A,PP-SRK,21347/1282,137,137,0,NearPacatuba,Brazil,"The aircraft crashed into a 2,500 ft. mountain (Serra da Aratanha) during an approach in heavy rain and fog. Despite two altitude alert system warnings and the co-pilot's warning of the mountains ahead, the captain continued to descend below the minimum descend altitude. Non-observance of air traffiand carrier's procedures."
06-12-1982,6,12,1982,,"Tabatinga, Brazil",TABA,,Eirunepe - Tabatinga,Fairchild-Hiller FH-227B-LCD,PT-LBV,536,44,44,0,Tabatinga,Brazil,The plane crashed into the tower during an approach in adverse weather conditions.
06/22/1982,6,22,1982,,"Bombay, India",Air India,,Kuala Lumpur - Mumbai,Boeing B-707-437,VT-DJJ,17723/100,111,17,0,Bombay,India,The crew initiated a go-around after a heavy landing and a subsequently bounced lifted off the runway but descended back onto the ground and broke up. Deliberate reduction of engine power by the pilot 12 seconds prior to first impact due to altitude unawareness resulting in a high rate of descent and very hard landing. The aircraft was named 'Gaurishankar.'
07-06-1982,7,6,1982,00:05,"Near Moscow, Russia",Aeroflot,411,,Ilyushin IL-62M,CCCP-86513,4037536,90,90,0,NearMoscow,Russia,The aircraft crashed and burned in field shortly after takeoff. Failure of the aircraft's power plant fire warning system due to design deficiencies which resulted in false fire indications in both engines.
07/24/1982,7,24,1982,16:00,"Near Sitka, Alaska",Air Taxi,,"Sitka, AK - Warm Springs, AK",Cessna A185F,N9682Q,,4,4,0,NearSitka,Alaska,Impacted the side of a mountain shortly after taking off. Improper in-flight planning. Proper alititude not maintained. Improper use of flight controls.
09-04-1982,9,4,1982,,"Rio Branco, Brazil",Cia Brasiliera de Tratores,,,Gates Learjet 25B,PT-JBQ,25B-119,10,10,0,RioBranco,Brazil,The plane ran out of fuel on the third approach in poor weather.
09/21/1982,9,21,1982,11:00,"Near Kotzbue, Alaska",Air Taxi,,"Kiana, AK - Kotzebue, AK",Cessna U206G,N5331X,,6,4,0,NearKotzbue,Alaska,"The aircraft engine lost power over water of Hotham Inlet. Due to low altitude, the pilot had to ditch the aircraft. The aircraft sank almost immediately. Because of pilot's radio call two passengers were rescued. Reason for occurrence undetermined"
12/23/1982,12,23,1982,,"Rostov-on-Don, Russia",Aeroflot,,,Antonov AN-26,CCCP-26627,5208,16,16,0,Rostov-on-Don,Russia,
12/24/1982,12,24,1982,,"Guangzhou, China",CAAC,,,Ilyushin IL-18B,B-202,189001401,69,25,0,Guangzhou,China,A passenger's cigarette caused a fire in the cabin which led to an oxygen tank exploding.
03-09-1983,3,9,1983,,"Off Macae, Brazil",Aeroleo Taxi Aereo,,,Bell 212,PT-HJN,30761,11,11,0,OffMacae,Brazil,Crashed into the sea.
03/30/1983,3,30,1983,05:14,"Newark, New Jersey",Central Airlines,,Chicago - Newark,Learjet 25,N51CA,25-030,2,2,0,Newark,NewJersey,"While attempting to land, the cargo plane came in too steep and fast, bounced on landing, crashed and burned. Loss of control following ground contact due to anunstabilized approach. Impairment of the flightcrew's judgment, decision making and flying abilities by a combination of physioIogical and psychological factors."
04-03-1983,4,3,1983,,"Guangzhou, China",Total,,,Beech Super King Air 200,F-BVRP,BB-0038,8,8,0,Guangzhou,China,
04-07-1983,4,7,1983,14:55,"Selawik, Alaska",Munz Northern Airlines,601,Nome - Ambler,Britten-Norman BN-2A-8 Islander,N37MN,558,3,2,0,Selawik,Alaska,Lost control of the aircraft and crashed in a snow storm. Continued VFR flight in IFR conditions.
04/19/1983,4,19,1983,18:09,"Leninakan, Russia",Aeroflot,,Nalchik - Leninakan,Yakovlev YAK-40,CCCP-87291,9320628,21,21,0,Leninakan,Russia,The crew deviated from course while descending to land. Navigational error. ATC procedural error in not identifying the planes position.
09-01-1983,9,1,1983,18:26,"Near Sakhalin Island, Russia",Korean Airlines,7,Anchorage - Seoul,Boeing B-747-230B,HL-7442,20559/186,269,269,0,NearSakhalinIsland,Russia,"On a flight from Alaska to South Korea, the airliner drifted off course and twice penetrated Soviet airspace.  During the second penetration, the airliner was shot down by a Russian Su-15 Air Force fighter with air-to-air missiles. The aircraft crashed into international waters in the Sea of Japan. U.S. Representative from Georgia Lawrence McDonald killed."
09/14/1983,9,14,1983,09:34,"Guilin, China",CAAC,,Guilin - Beijing,Hawker Siddeley Trident 2E /  II-28,B-264 / ,2169 / ,106,11,0,Guilin,China,Collided with a Chinese Air Force aircraft while taxing.
10-07-1983,10,7,1983,,"Aracatuba, Brazil",TAM Lineas Aéreas Regional,,,Embraer 110C Bandeirante,PP-SBH,110026,15,7,0,Aracatuba,Brazil,After two missed IFR approaches the aircraft struck the ground short of the runway threshold during a third VFR approach.
12/24/1983,12,24,1983,,"Leshukonskoye, Russia",Aeroflot,,Arkhangelsk - Leshukonskoye,Antonov AN-24,CCCP-46617,37308704,49,44,0,Leshukonskoye,Russia,"The airliner crashed on approach in adverse weather. Instead of a go-around the pilot put the plane in a tight turn to the right with a high slip angle, leading to a loss of airspeed. After descending through decision height the pilot attempted a go-around but the plane rolled to the left and lost altitude. After the bank angle reached 90 degrees the aircraft crashed short of  the runway."
01/28/1984,1,28,1984,,"Izhevsk, Russia",Aeroflot,,,Antonov An-24RV,CCCP-47358,67310607,47,4,0,Izhevsk,Russia,The aircraft crashed after the elevator failed. Disconnection of the linkage of the elevators control rod.
01/30/1984,1,30,1984,06:30,"Terre Haute, Indiana",Britt Airways,,Training,Swearingen SA.226TC Metro II,N63Z,TC-240,3,3,0,TerreHaute,Indiana,The aircraft entered a steep after taking off and crashed to the ground. Undetermined cause.
04-04-1984,4,4,1984,,"Florianopolis, Brazil",Líder Táxi Aéreo,,,PT-LCN,PT-LCN,24-287,4,4,0,Florianopolis,Brazil,Crashed while landing.
04/18/1984,4,18,1984,,"Imperatriz, Brazil",VOTEC / VOTEC,,,Embraer 110EJ Band./Embraer 110P Band.,PT-GJZ/PT-GKL,110088 / 110170,35,19,0,Imperatriz,Brazil,"Midair collision.  Same aircraft type, same airline. One of 17 killed aboard PT-GKL and all 18 aboard PT-GJZ were killed. PT-GJZ crashed out of control but PT-GKL was able to make a forced landing without its No.1 engine on a river after which it sank."
05-08-1984,5,8,1984,,"Elbet Beni Salama, Egypt",Military - Egyptian Air Force,,,McDonnel F-4E Phantom II,,,2,2,19,ElbetBeniSalama,Egypt,"Crashed into a village approximately 80 miles from Cairo, killing 19 on the ground."
06/19/1984,6,19,1984,02:55,"Island Beach, New Jersey",Air Taxi - Raco Helicopters Corp.,,,Aerospeciale AS-350D,N5784M,,3,3,0,IslandBeach,NewJersey,"The on-demand air taxi flight departed for garden city with one passenger. The reported weather at the approximate time of the accident indicated low clouds, thunderstorm activity including rain and lighting. One witness stated that he observed the helicopter flying at an altitude of approximately 60 to 80 feet above the water. The helicopter wreckage was found the next day on the beach. Continued VFR flight into IMC. Improper altitude."
06/28/1984,6,28,1984,,"Near Sao Pedro d' Aldeia, Brazil",TAM Lineas Aéreas Regional,,,Embraer 110C Bandeirante,PP-SBC,110-013,18,18,0,NearSaoPedrod'Aldeia,Brazil,The aircraft flew into heavy rain and a cloud shrouded hill after the pilot abandoned IFR and descended VFR. The plane was carrying journalists.
07/21/1984,7,21,1984,09:20,"Ouzinkie, Alaska",Air Taxi,,"Kodiak, AK - Ouzinkie, AK",Grumman G-21A,N2021A,,4,4,0,Ouzinkie,Alaska,"The aircraft collided with the waters of the narrow strait, northwest of Monashka Bay. Witnesses reported the weather was IFR in the area at the time. The aircraft was not equipped for instrument flight nor was the pilot current with FARS to conduct IFR operations. Continued VFR flight into IMC."
07/25/1984,7,25,1984,07:30,"Anchorage, Alaska",Air Taxi,,"Anchorage, AK - Cantwell, AK",Cessna 401,N7984Q,,5,5,0,Anchorage,Alaska,Disappeared en route. Aircraft and occupants never found. Reasons undetermined.
10-11-1984,10,11,1984,05:40,"Near Omsk, Russia",Aeroflot,3352,Krasnodar - Omsk,Tupolev TU-154B,CCCP-85243,243,179,174,4,NearOmsk,Russia,"While landing, the crew noticed something on the runway, took evasive action and crashed into two cleaning vehicles. The flying control officer (ATC)  fell asleep and did not inform the controllers cleaning vehicles were on the runway."
03/22/1986,3,22,1986,,"Jammuin, India",Military - Indian Air Force,,,Antonov An-32,,,19,19,0,Jammuin,India,
12/23/1984,12,23,1984,18:10,"Near Kranoyarsk, Russia",Aeroflot,3519,,Tupolev TU-154B-2,CCCP-85338,338,110,110,0,NearKranoyarsk,Russia,The aircraft crashed while attempting an emergency landing after the No. 3 engine caught fire. Failure of a  compressor.
01/18/1985,1,18,1985,,"Jinan, China",CAAC,5109,Nanjing - Jinan,Antonov AN-24B,B-434,27308110,41,38,0,Jinan,China,Crashed after overshooting the runway in rain and fog.
02-04-1985,2,4,1985,19:51,"Soldotna, Alaska",North PacifiAirlines,-,"Anchorage, AK - Anchorage, AK",Beech Queen Air 65-A80,N50NP,LD-231,9,9,0,Soldotna,Alaska,Crashed into trees while attempting a go-around in poor weather. Improper minimum descent atlitiude and missed approach. Improper inflight decision. Improper missed approach. Minimum descent altitude not maintained.
10/18/1989,10,18,1989,,"Nasosny, Russia",Military - Russian Air Force,,,Ilyushin IL-76MD,CCCP-76569,33448421,57,57,0,Nasosny,Russia,Crashed into the Caspian sea after reporting an engine fire.
02/25/1985,2,25,1985,,"Near Valdez, Alaska",Military - U.S. Air Force,,,Boeing RC-135T,55-3121,17237/4,3,3,0,NearValdez,Alaska,Struck a mountain in poor weather.
05/16/1985,5,16,1985,13:45,"Golovin, Alaska",Air Taxi,,"Golovin, AK - Elim, AK",Cessna C-207A,N73635,,5,2,0,Golovin,Alaska,"According to the pilot-in-command, he was attempting to fly through a mountain saddle. As he turned towards the mountain and began his climb the weather deteriorated rapidly with ceilings zero, visibility zero and severe turbulence. The airplane struck the side of a 1,707 foot high mountain at the 1,590 foot level on a magnetiheading of 015 degrees. The pilot-in-command stated that just prior to impact he could not see anything. Continued VFR flight into IMC. Poor judgement. Improper planning."
06/23/1985,6,23,1985,,"Juara, Brazil",TABA,,Juara - Cuiaba,Embraer 110P Bandeirante,PT-GJN,110-063,17,17,0,Juara,Brazil,The plane stalled and crashed into an emergency vehicle while making an emergency landing attempt after an engine caught fire. A faulty fuel injection nozzle caused a blow torch effect damaging the compressor turbine vane ring and causing thermal fatigue and loss of one of the turbine blades.The resulting imbalance ruptured the starting control bypass fuel return line.
08/20/1985,8,20,1985,02:05,"Gulkana, Alaska",Air Taxi - Jet Alaska,,"Anchorage, AK - Gulkana, AK",Learjet 24D,N455JA,,3,3,0,Gulkana,Alaska,"During a night arrival, the flight was on an instrument approach to the Gulkana Airport when radio contact with the aircraft was lost. Search was initiated & the wreckage was found 7.4 mi north of the terminal VORr on the 330 deg radial.  Improper IFR procedure. Minimum descent altitude not maintained."
10-09-1985,10,9,1985,19:00,"Vitória da Conquista, Brazil",Nordeste Linhas Aéreas,,,Embraer 110C Bandeirante,PT-GKA,110090,2,2,0,VitóriadaConquista,Brazil,The pilot of the cargo plane stayed at a low altitude after taking off in IMC conditons and crashed.
10/22/1985,10,22,1985,20:45,"Near Juneau, Alaska",Jet Alaska,,Anchorage - Juneau,Learjet 24XR,N456JA,24-265,4,4,0,NearJuneau,Alaska,"The air ambulance crashed into a mountain at 3,500 ft. while attempting to land. Crew became lost and disoriented and made a premature descent."
11-01-1985,11,1,1985,09:50,"Bethel, Alaska",Air Taxi- Hermans Air Inc.,,"Bethel, AK - Chevak, AK",Cessna 208,N9241F,208-00006,4,2,0,Bethel,Alaska,A total loss of power was experienced on takeoff due to the fuel selectors being in the off position. The pilot attempted to restart the engine during which time the aircraft entered a stall and collided with the terrain. Checklist not used. Fuel tank selector in wrong position.
11/16/1985,11,16,1985,,"Quinhagaki, Alaska",Air Taxi,,"Bethel, AK - Quinhagaki, AK",Piper PA-32-300,N74DJ,,7,4,0,Quinhagaki,Alaska,The aircraft crashed on the frozen level tundra at night while on a part 135 air taxi flight. The investigation revealed the commercial rated air taxi pilot did not have a 135 air taxi check ride or competency check. The pilot's certificate prohibited him to carry passengers for hire at night or more than 50 mile cross country flight. At time of the accident the weather was below VFR conditions and the pilot did not receive a weather briefing. Continued VFR flight into IMC.
01/28/1986,1,28,1986,07:45,"Sao Paulo, Brazil",VASP,,Sao Paulo - Belo Horizonte,Boeing B-737-2A1,PP-SME,20096/190,72,1,0,SaoPaulo,Brazil,The crew accidently tried to take off from a taxiway. The takeoff was aborted but the aircraft overran the runway and collided with a embankment and broke in two. There was heavy fog in the area.
